sain,description,title
c6sj255p,"<p>Overview:</p><ul><li>Size H174.6, W59.5, D65.1cm. </li><li>Fridge capacity 320 litres. </li><li>Manufacturer&apos;s 2 year guarantee. </li></ul><p>Fridge specifications:</p><ul><li>Ambient temperature 16 to 38&deg;C . </li><li>4 shelves (safety glass). </li><li>Extra deep door storage. </li><li>2 salad crisper compartments. </li><li>Reversible door. </li><li>Open door alert. </li></ul><p>Controls:</p><ul><li>Electronic temperature control. </li><li>Temperature display. </li></ul><p>Performance:</p><ul><li>Energy efficiency rating: A+. </li><li>Energy consumption: 157kWh per year based on standard test results for 24 hours. </li><li>Noise level 43dB. </li></ul><p>General information:</p><ul><li>Rear panel material: plastic. </li></ul>",Hisense RL423N4AC1 Tall Fridge - Stainless Steel
tx1mby0a,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W38 L33
7sb2qqat,"<p>MultiBox: ideal storage locatiob for fruits and vegetables. <br \><br \></p><p>Extra deep door trays: extra room for large bottles and containers. <br \><br \></p><p>SafetyGlass: very stable shelves made of easy-to-clean glass. <br \><br \></p><p>Overview:</p><ul><li>Size H82, W59.8, D54.8cm. </li><li>To fit aperture size H82, W60, D67cm. </li><li>Boxed size H89, W67, D61cm. </li><li>Boxed weight 36kg. </li><li>Automatic defrost. </li><li>Fridge capacity 137 litres. </li><li>Manufacturer&apos;s 2 year guarantee. </li><li>Ambient temperature 10 to 38&deg;C. </li><li>Rear panel material: foil. </li></ul><p>Fridge specifications:</p><ul><li>Designed to be built-in. </li><li>3 shelves (safety glass). </li><li>115cm door depth. </li><li>Extra deep door storage. </li><li>1 dairy compartment. </li><li>2 salad crisper compartments. </li><li>Door opens on right side. </li><li>Door opens to 90 degrees. </li><li>Reversible door. </li><li>Internal light. </li></ul><p>Performance:</p><ul><li>Energy efficiency rating: A+. </li><li>Energy consumption: 118kWh per year based on standard test results for 24 hours. </li><li>Noise level 38dB. </li></ul><p>General information:</p><ul><li>2.3m power cable. </li><li>Please allow 4 hours to settle. </li></ul>",Bosch KUR15A50GB Integrated Fridge - White
rykf4pgx,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W38 L34
m9etzt5w,,
tnjt4sjn,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W40 L29
mf1gc08q,,
28574vzb,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W40 L30
6x1297pk,"<p>Overview:</p><ul><li>Size H128, W51.9, D53.6cm. </li><li>Boxed size H133.2, W54.2, D56.5cm. </li><li>Automatic defrost. </li><li>Fridge capacity 149 litres. </li><li>Net frozen food storage volume 15 litres. </li><li>15 hours power failure safe storage. </li><li>Manufacturer&apos;s 2 year guarantee. </li><li>Ambient temperature 16 to 38&deg;C. </li><li>Rear panel material: plastic. </li></ul><p>Fridge specifications:</p><ul><li>3 shelves (safety glass). </li><li>4 bottle wine rack. </li><li>1 salad crisper compartment. </li><li>Freezer compartment. </li></ul><p>Performance:</p><ul><li>Energy efficiency rating: A++. </li><li>Energy consumption: 150kWh per year based on standard test results for 24 hours. </li><li>Noise level 40dB. </li><li>Star rating: 4. </li></ul>",Hisense RR220D4AB2 Tall Fridge - Black
whj26pcp,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W40 L31
jy0x5vvq,,
9rv2y43w,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W40 L32
htg5paw3,"<p>Overview:</p><ul><li>Size H128, W51.9, D53.6cm. </li><li>Boxed size H133.2, W54.2, D56.5cm. </li><li>Automatic defrost. </li><li>Fridge capacity 149 litres. </li><li>Net frozen food storage volume 15 litres. </li><li>15 hours power failure safe storage. </li><li>Manufacturer&apos;s 2 year guarantee. </li><li>Ambient temperature 16 to 38&deg;C. </li><li>Rear panel material: plastic. </li></ul><p>Fridge specifications:</p><ul><li>3 shelves (safety glass). </li><li>4 bottle wine rack. </li><li>1 salad crisper compartment. </li><li>Freezer compartment. </li></ul><p>Performance:</p><ul><li>Energy efficiency rating: A++. </li><li>Energy consumption: 150kWh per year based on standard test results for 24 hours. </li><li>Noise level 40dB. </li><li>Star rating: 4. </li></ul>",Hisense RR220D4AD2 Tall Fridge - Silver
0vwsrr6s,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W40 L33
3905d7r2,"<p>Finished in crisp white with an integrated handle, this fridge freezer has been designed for convenience. Three fridge shelves, versatile door storage and transparent freezer drawers make clever use of space inside to easily fit the weekly shop and more. <br \><br \></p><p>Adjustable, spill-resistant, glass shelves give extra flexibility to change shelf height, useful when storing tall items. <br \><br \></p><p>Ideal for the larger household, extra deep door storage helps you store bulkier bottles and items. <br \><br \></p><p>Overview:</p><ul><li>Size H175, W55, D58cm. </li><li>Fridge capacity 140 litres. </li><li>Freezer capacity 102 litres. </li><li>Reversible door. </li><li>Manufacturer&apos;s 10 year parts and 1 year labour guarantee. </li></ul><p>Performance:</p><ul><li>Energy efficiency rating: A+. </li><li>Energy consumption: 271kWh per year based on standard test results for 24 hours. </li><li>Operating temperature 16 to 38&deg;C. </li><li>Noise level 44dB. </li><li>Star rating: 4. </li></ul><p>Fridge specifications:</p><ul><li>3 shelves (anti-spill safety glass). </li><li>Automatic defrost. </li><li>1 salad crisper compartment. </li><li>Spill resistant glass shelves. </li></ul><p>Freezer specifications:</p><ul><li>4 storage compartments. </li><li>Transparent freezer drawers. </li><li>19 hours power failure safe storage. </li></ul><p>General information:</p><ul><li>Rear panel material: plastic. </li><li>Freezer at bottom. </li></ul>",Candy CSC1745WE Tall Fridge Freezer - White
x61chknp,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W40 L34
j7pvkc4j,"<p>The fridge compartment has an automatic defrost function to prevent frost build up. The a+ energy efficiency rating makes this fridge freezer an ultra economical addition to your home. <br \><br \></p><p>Adjustable, spill-resistant, glass shelves give extra flexibility to change shelf height, useful when storing tall items. <br \><br \></p><p>Ideal for the larger household, extra deep door storage helps you store bulkier bottles and items. <br \><br \></p><p>Overview:</p><ul><li>Size H175, W55, D58cm. </li><li>Fridge capacity 140 litres. </li><li>Freezer capacity 102 litres. </li><li>Reversible door. </li><li>Manufacturer&apos;s 10 year parts and 1 year labour guarantee. </li></ul><p>Performance:</p><ul><li>Energy efficiency rating: A+. </li><li>Energy consumption: 271kWh per year based on standard test results for 24 hours. </li><li>Operating temperature 16 to 38&deg;C. </li><li>Noise level 44dB. </li><li>Star rating: 4. </li></ul><p>Fridge specifications:</p><ul><li>3 shelves (glass). </li><li>Automatic defrost. </li><li>1 dairy compartment. </li><li>1 salad crisper compartment. </li><li>Spill resistant glass shelves. </li></ul><p>Freezer specifications:</p><ul><li>4 storage compartments. </li><li>Transparent freezer drawers. </li><li>19 hours power failure safe storage. </li></ul><p>General information:</p><ul><li>Rear panel material: plastic. </li><li>Freezer at bottom. </li></ul>",Candy CSC1745BE Tall Fridge Freezer - Black
rmvh5x32,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W42 L29
2y2y5dc1,"<p>Finished in crisp white with an integrated handle, this fridge freezer has been designed for convenience. Three fridge shelves, versatile door storage and transparent freezer drawers make clever use of space inside to easily fit the weekly shop and more. <br \><br \></p><p>Adjustable, spill-resistant, glass shelves give extra flexibility to change shelf height, useful when storing tall items. <br \><br \></p><p>Ideal for the larger household, extra deep door storage helps you store bulkier bottles and items. <br \><br \></p><p>Overview:</p><ul><li>Size H175, W55, D58cm. </li><li>Fridge capacity 140 litres. </li><li>Freezer capacity 102 litres. </li><li>Reversible door. </li><li>Manufacturer&apos;s 10 year parts and 1 year labour guarantee. </li></ul><p>Performance:</p><ul><li>Energy efficiency rating: A+. </li><li>Energy consumption: 271kWh per year based on standard test results for 24 hours. </li><li>Operating temperature 16 to 38&deg;C. </li><li>Noise level 44dB. </li><li>Star rating: 4. </li></ul><p>Fridge specifications:</p><ul><li>3 shelves (glass). </li><li>Automatic defrost. </li><li>1 dairy compartment. </li><li>1 salad crisper compartment. </li><li>Spill resistant glass shelves. </li></ul><p>Freezer specifications:</p><ul><li>4 storage compartments. </li><li>Transparent freezer drawers. </li><li>19 hours power failure safe storage. </li></ul><p>General information:</p><ul><li>Rear panel material: plastic. </li><li>Freezer at bottom. </li></ul>",Candy CSC1745SE Tall Fridge Freezer - Silver
cmsjtba5,"These cotton rich bootcut jeans will make a versatile update to your denim collection. In a light wash stretch denim, they are designed with a regular rise and wide hem, featuring five functional pockets and a slightly distressed finish.<br /><ul><li>Light denim wash loose jeans</li><li>Low rise</li><li>Loose fit</li><li>Stretch</li><li>Cotton rich</li><li>Five pockets</li><li>Belt loops</li><li>Model&#039;s height is 5&#039;11&#039;&#039;</li><li>Model wears a 34R</li></ul>",Online Exclusive Light Denim Wash Loose Jeans With Stretch - W42 L30
